"Name","Wert","Spalten-Alias"
"Schlierbach",756,"undefined"
"Altstadt",3.590,"undefined"
"Bergheim",2.272,"undefined"
"Weststadt",3.418,"undefined"
"Suedstadt",1.323,"undefined"
"Rohrbach",4.078,"undefined"
"Kirchheim",4.127,"undefined"
"Pfaffengrund",1.345,"undefined"
"Wieblingen",2.097,"undefined"
"Handschuhsheim",5.471,"undefined"
"Neuenheim",3.594,"undefined"
"Boxberg",663,"undefined"
"Emmertsgrund",1.207,"undefined"
"Ziegelhausen",1.737,"undefined"
"Bahnstadt",1.250,"undefined"

##EW18-29##